Epsilon,NumClusters,NumOutliers,SilhouetteScore
0.1,0,15664,0.0
0.10500000000000001,0,15664,0.0
0.11000000000000001,0,15664,0.0
0.11500000000000002,1,15659,0.0
0.12000000000000002,2,15654,-0.10320317991646542
0.12500000000000003,2,15654,-0.10320317991646542
0.13000000000000003,2,15654,-0.10320317991646542
0.13500000000000004,4,15643,-0.37758396035478936
0.14000000000000004,10,15609,-0.4657583194001406
0.14500000000000005,19,15548,-0.48991742984209935
0.15000000000000005,34,15428,-0.5061364156237481
0.15500000000000005,49,15294,-0.5146837333921788
0.16000000000000006,48,15154,-0.5063396283520128
0.16500000000000006,54,14960,-0.5101911891185764
0.17000000000000007,70,14646,-0.5254237938970929
0.17500000000000007,65,14366,-0.5225787258808943
0.18000000000000008,61,14013,-0.5293494315398077
0.18500000000000008,61,13588,-0.5162181537710692
0.19000000000000009,69,13080,-0.5195337652726353
0.1950000000000001,81,12523,-0.5270567381981469
0.2000000000000001,71,12028,-0.5191074425393882
0.2050000000000001,77,11510,-0.5079511264454813
0.2100000000000001,84,10937,-0.4925628843821035
0.2150000000000001,82,10323,-0.48063503394070967
0.2200000000000001,65,9767,-0.4626772038796431
0.22500000000000012,70,9203,-0.4472910088852814
0.23000000000000012,70,8609,-0.42229843971521724
0.23500000000000013,69,8053,-0.4167240007812059
0.24000000000000013,67,7590,-0.4049024437170048
0.24500000000000013,64,7060,-0.3806584659912928
0.2500000000000001,68,6601,-0.3736028333752213
0.2550000000000001,59,6185,-0.35970691692613893
0.2600000000000001,39,5786,-0.2992772156544526
0.2650000000000001,35,5368,-0.2680185591908481
0.27000000000000013,32,4947,-0.23754692732666743
0.27500000000000013,28,4596,-0.21311303380797605
0.28000000000000014,34,4243,-0.23977365416927882
0.28500000000000014,28,3931,-0.1910033134156666
0.29000000000000015,27,3646,-0.18680345046222457
0.29500000000000015,25,3365,-0.16399713500058177
0.30000000000000016,22,3109,-0.11818649464719937
0.30500000000000016,19,2866,-0.07755192714464679
0.31000000000000016,16,2625,-0.05246565220175181
0.31500000000000017,15,2395,-0.020926834125931194
0.3200000000000002,12,2195,-0.010663200007091696
0.3250000000000002,8,2018,-0.011733198342842928
0.3300000000000002,7,1873,0.06640203510213642
0.3350000000000002,9,1722,0.023223829485577278
0.3400000000000002,7,1583,0.08312322445238861
0.3450000000000002,7,1457,0.1471414750219494
0.3500000000000002,6,1336,0.19655536976230312
0.3550000000000002,5,1229,0.2963764719112794
0.3600000000000002,5,1129,0.30041516559863807
0.3650000000000002,6,1048,0.2379595698498645
0.3700000000000002,6,964,0.2401855852595237
0.3750000000000002,8,883,0.1464511781434823
0.3800000000000002,6,810,0.2918530539584341
0.38500000000000023,6,759,0.29332486770234484
0.39000000000000024,6,714,0.29469309791773224
0.39500000000000024,7,653,0.26195435913447385
0.40000000000000024,7,608,0.26275782079554344
0.40500000000000025,7,566,0.2687254458730176
0.41000000000000025,7,517,0.27376209372429366
0.41500000000000026,7,468,0.27156102378674196
0.42000000000000026,7,440,0.27292724156190934
0.42500000000000027,6,412,0.25661793319658593
0.43000000000000027,6,383,0.25852936188153486
0.4350000000000003,6,351,0.2783822331023955
0.4400000000000003,6,320,0.2795014289876831
0.4450000000000003,7,293,0.2779909853668312
0.4500000000000003,6,273,0.27971070952300375
0.4550000000000003,6,258,0.27989055361309845
0.4600000000000003,5,246,0.3016893595527278
0.4650000000000003,5,231,0.3019201073200652
0.4700000000000003,4,219,0.29489621156295553
0.4750000000000003,3,208,0.31788934033804256
0.4800000000000003,3,197,0.3180249465553357
0.4850000000000003,3,187,0.318331592342795
0.4900000000000003,3,176,0.31863726269684484
0.49500000000000033,3,159,0.3194000228462017
0.5000000000000003,4,140,0.22804587210726984
0.5050000000000003,4,135,0.22792919861231845
0.5100000000000003,4,131,0.22783079569289233
0.5150000000000003,3,127,0.23432615053788217
0.5200000000000004,3,124,0.23449623300647054
0.5250000000000004,3,118,0.23429401895984006
0.5300000000000004,3,111,0.23433792917974103
0.5350000000000004,2,107,0.3272607323308638
0.5400000000000004,2,102,0.32758397896559355
0.5450000000000004,2,96,0.3277235938971671
0.5500000000000004,2,90,0.32807660896068797
0.5550000000000004,3,77,0.2628387974831057
0.5600000000000004,3,71,0.2628339344927958
0.5650000000000004,3,68,0.26301183965668273
0.5700000000000004,4,58,0.23270324719670651
0.5750000000000004,3,54,0.29780684053193374
0.5800000000000004,2,49,0.33042075141266763
0.5850000000000004,2,46,0.33068790945567483
0.5900000000000004,2,44,0.33091615986593553
0.5950000000000004,2,44,0.33091615986593553
0.6000000000000004,3,37,0.2841056912355328
0.6050000000000004,3,36,0.2840656034838163
0.6100000000000004,3,33,0.2839861253462669
0.6150000000000004,2,29,0.3305822183676545
0.6200000000000004,2,28,0.3309123724299258
0.6250000000000004,2,27,0.33109345805209683
0.6300000000000004,2,24,0.33092348774683317
0.6350000000000005,2,23,0.33061616346034434
0.6400000000000005,2,20,0.33051959884229704
0.6450000000000005,2,20,0.33051959884229704
0.6500000000000005,2,18,0.3307604003323687
0.6550000000000005,2,18,0.3307604003323687
0.6600000000000005,2,18,0.3307604003323687
0.6650000000000005,2,16,0.33017847275016754
0.6700000000000005,2,13,0.3312387338626882
0.6750000000000005,2,13,0.3312387338626882
0.6800000000000005,2,12,0.33089964522099263
0.6850000000000005,2,12,0.33089964522099263
0.6900000000000005,2,11,0.3310407717305259
0.6950000000000005,2,9,0.33048331626817806
0.7000000000000005,2,9,0.33048331626817806
0.7050000000000005,2,9,0.33048331626817806
0.7100000000000005,2,7,0.32960760651182247
0.7150000000000005,2,7,0.32960760651182247
0.7200000000000005,2,6,0.3301467457669161
0.7250000000000005,2,5,0.3310211841022957
0.7300000000000005,2,5,0.3310211841022957
0.7350000000000005,2,5,0.3310211841022957
0.7400000000000005,2,4,0.3299287842818394
0.7450000000000006,2,4,0.3299287842818394
0.7500000000000006,2,3,0.330336432717471
0.7550000000000006,2,3,0.330336432717471
0.7600000000000006,2,2,0.3273301780502429
0.7650000000000006,2,2,0.3273301780502429
0.7700000000000006,2,2,0.3273301780502429
0.7750000000000006,2,2,0.3273301780502429
0.7800000000000006,2,2,0.3273301780502429
0.7850000000000006,2,2,0.3273301780502429
0.7900000000000006,2,2,0.3273301780502429
0.7950000000000006,2,2,0.3273301780502429
0.8000000000000006,2,2,0.3273301780502429
0.8050000000000006,2,2,0.3273301780502429
0.8100000000000006,2,2,0.3273301780502429
0.8150000000000006,2,2,0.3273301780502429
0.8200000000000006,2,2,0.3273301780502429
0.8250000000000006,2,2,0.3273301780502429
0.8300000000000006,2,2,0.3273301780502429
0.8350000000000006,2,2,0.3273301780502429
0.8400000000000006,2,2,0.3273301780502429
0.8450000000000006,2,2,0.3273301780502429
0.8500000000000006,2,1,0.32808742257635043
0.8550000000000006,2,1,0.32808742257635043
0.8600000000000007,2,0,0.3345031799707886
0.8650000000000007,2,0,0.3345031799707886
0.8700000000000007,2,0,0.3345031799707886
0.8750000000000007,2,0,0.3345031799707886
0.8800000000000007,2,0,0.3345031799707886
0.8850000000000007,2,0,0.3345031799707886
0.8900000000000007,2,0,0.3345031799707886
0.8950000000000007,2,0,0.3345031799707886
0.9000000000000007,2,0,0.3345031799707886
0.9050000000000007,2,0,0.3345031799707886
0.9100000000000007,2,0,0.3345031799707886
0.9150000000000007,2,0,0.3345031799707886
0.9200000000000007,2,0,0.3345031799707886
0.9250000000000007,2,0,0.3345031799707886
0.9300000000000007,2,0,0.3345031799707886
0.9350000000000007,2,0,0.3345031799707886
0.9400000000000007,2,0,0.3345031799707886
0.9450000000000007,2,0,0.3345031799707886
0.9500000000000007,2,0,0.3345031799707886
0.9550000000000007,2,0,0.3345031799707886
0.9600000000000007,2,0,0.3345031799707886
0.9650000000000007,2,0,0.3345031799707886
0.9700000000000008,2,0,0.3345031799707886
0.9750000000000008,2,0,0.3345031799707886
0.9800000000000008,2,0,0.3345031799707886
0.9850000000000008,2,0,0.3345031799707886
0.9900000000000008,2,0,0.3345031799707886
0.9950000000000008,2,0,0.3345031799707886
