track_id,track_name,track_artists,track_popularity,preview,image,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Label
7MmG8p0F9N3C4AXdK6o6Eb,Outside (feat. Ellie Goulding),"['Calvin Harris', 'Ellie Goulding']",86,https://p.scdn.co/mp3-preview/258a571c0ae04c58dad7ff59c49b0bd39cb1986b?cid=64f71dc4feea42ba8a001845e907b58d,https://i.scdn.co/image/ab67616d0000b273063c048e9ef6bd021b744756,0.646,0.823,2,-4.123,0,0.0394,0.213,0.0,0.322,0.418,128.035,227267,4,0
1dbar1XukTbn7FQzQTqDQK,Outside All Night (feat. A$AP Rocky & N3WYRKLA),"['Brent Faiyaz', 'N3WYRKLA', 'A$AP Rocky']",76,https://p.scdn.co/mp3-preview/969a401d24c2edf4a7f9182a3ac8dde5004adc7f?cid=64f71dc4feea42ba8a001845e907b58d,https://i.scdn.co/image/ab67616d0000b273180c0d19e7dedffa7f7cb4b9,0.649,0.667,1,-7.799,0,0.123,0.0941,0.0,0.121,0.826,141.967,202817,4,1
4VY32hdU4byJ6cpEBAXRul,Outside,['Bryson Tiller'],67,https://p.scdn.co/mp3-preview/83e97822db0d0114809e9b830d20c01818f91cde?cid=64f71dc4feea42ba8a001845e907b58d,https://i.scdn.co/image/ab67616d0000b273b0141981cfa199a11281dfd4,0.729,0.513,6,-7.507,1,0.0554,0.125,0.0,0.112,0.775,97.254,199924,4,1
5PIfH6BzcmH04RDmtzF0BN,Outside Today,['YoungBoy Never Broke Again'],65,https://p.scdn.co/mp3-preview/b719b6667d0ad98f4d5bae84e8aaea67cc4c8af0?cid=64f71dc4feea42ba8a001845e907b58d,https://i.scdn.co/image/ab67616d0000b27320f9c767b8624a234a578f21,0.851,0.666,11,-5.334,0,0.0694,0.139,0.0,0.105,0.0585,134.068,129105,4,1
0W9pobrdXIEnjrMusxTn0D,Outside (Hardstyle),['crypvolk'],64,https://p.scdn.co/mp3-preview/9630e8a1d4c94575ed6087a163d3689e0ca963b0?cid=64f71dc4feea42ba8a001845e907b58d,https://i.scdn.co/image/ab67616d0000b2734a55c45523b1942f44f1c3fe,0.558,0.905,2,-3.352,0,0.0317,0.191,7.63e-05,0.27,0.397,149.908,176000,4,1
4jk00YxPtPbhvHJE9N4ddv,OUTSIDE HARDSTYLE SPED UP,['SICK LEGEND'],63,https://p.scdn.co/mp3-preview/e4e1aa8b5e92d4b975affb1a8c894aa3b13e52c8?cid=64f71dc4feea42ba8a001845e907b58d,https://i.scdn.co/image/ab67616d0000b273421f78324a2c49d041650f1d,0.443,0.83,4,-4.679,0,0.0647,0.0243,0.0,0.154,0.419,168.388,136842,4,1
5D6rk7Zr7FRy5m2fDte5fp,Outside,['Staind'],62,https://p.scdn.co/mp3-preview/dc571b1ba19ba798a28855543734968516fea44b?cid=64f71dc4feea42ba8a001845e907b58d,https://i.scdn.co/image/ab67616d0000b27300e9c78a5d11dd6cf8e8f43e,0.515,0.594,1,-4.708,1,0.0262,0.00844,0.00658,0.0752,0.218,146.564,293133,4,0
1S5PiFK3Lifv954kpfbuOG,Outside - TikTok Remix,['Ren'],61,https://p.scdn.co/mp3-preview/517cb9458185651271a7ff50bda6a1358ae2c66c?cid=64f71dc4feea42ba8a001845e907b58d,https://i.scdn.co/image/ab67616d0000b27397b369c0ee868a542edc25c6,0.569,0.866,5,-4.367,0,0.0674,0.419,0.00271,0.342,0.484,155.792,186817,4,1
0YeFJA0ZQ4dfzaW8ReX7wo,OUTSIDE HARDSTYLE,"['SICK LEGEND', 'GYM HARDSTYLE', 'HARDSTYLE BRAH']",58,https://p.scdn.co/mp3-preview/b88a82e533a45be6ebfb93860df0df986e7bc560?cid=64f71dc4feea42ba8a001845e907b58d,https://i.scdn.co/image/ab67616d0000b273f8afb99f209d1132d8876b75,0.504,0.851,2,-5.044,0,0.0417,0.0146,0.0,0.15,0.54,150.063,153600,4,1
18xb87vqplkgi6jBI4fxuI,OUTSIDE HARDSTYLE,"['SICK LEGEND', 'GYM HARDSTYLE', 'HARDSTYLE BRAH']",57,https://p.scdn.co/mp3-preview/b88a82e533a45be6ebfb93860df0df986e7bc560?cid=64f71dc4feea42ba8a001845e907b58d,https://i.scdn.co/image/ab67616d0000b273efb4357e681842954cb178a4,0.504,0.851,2,-5.044,0,0.0417,0.0146,0.0,0.15,0.54,150.063,153600,4,1
2tmlgB95qtcAPIz2gjZkAD,Outside - Sped Up,['Speedy Jack'],57,https://p.scdn.co/mp3-preview/c6432ef1f80f510ca8f6b9df139b35075e10c970?cid=64f71dc4feea42ba8a001845e907b58d,https://i.scdn.co/image/ab67616d0000b27300e39cced4133ba4b637b852,0.547,0.898,6,-4.953,0,0.0438,0.316,0.00876,0.133,0.901,161.021,107329,4,1
5xs7NuzweBPxUC4tPV1QgH,Outside,['Always Mirin'],57,https://p.scdn.co/mp3-preview/b39c34258d9f26883a35409b5a8780333a27fa3b?cid=64f71dc4feea42ba8a001845e907b58d,https://i.scdn.co/image/ab67616d0000b2738e8492540368239d84e33538,0.558,0.937,0,-2.198,1,0.0686,0.0277,0.00548,0.206,0.556,168.889,147337,4,1
6CTM0aon2TESJvdeacsqh9,Outside,['George Michael'],56,https://p.scdn.co/mp3-preview/4dd9328bd73b7e8f1a39e283250ccb1947544b92?cid=64f71dc4feea42ba8a001845e907b58d,https://i.scdn.co/image/ab67616d0000b27364c19b24ce947ffa363f8f96,0.742,0.849,5,-8.173,1,0.0366,0.0403,0.00274,0.324,0.913,121.803,283427,4,0
6f8cT6qJ1KqqVXjx0xRJBt,Outside,['ZAYN'],56,https://p.scdn.co/mp3-preview/6c3fc823faa6f49b68699130e74e41789a8f8b42?cid=64f71dc4feea42ba8a001845e907b58d,https://i.scdn.co/image/ab67616d0000b273f160ff1c91caffd9e24cc736,0.475,0.343,11,-9.407,1,0.0397,0.0957,0.00024,0.149,0.0536,113.016,208920,4,1
1PbQ2pNfD7Sken7RNXhQtR,OUTSIDE,['HARDSTYLE DEMON'],55,https://p.scdn.co/mp3-preview/13bcead3ba7c4a84dfc711693d8a2becb67e32ac?cid=64f71dc4feea42ba8a001845e907b58d,https://i.scdn.co/image/ab67616d0000b27331bf2fdd25599120b5395242,0.483,0.929,2,-2.997,0,0.0365,0.00395,5.6e-06,0.237,0.36,87.528,139200,4,1
7xiqSbzciYkwgbvO4DpsG2,Outside - Slowed + Reverb,"['skyemane', 'Aiden Music']",54,https://p.scdn.co/mp3-preview/277ddfe794376875ab070ff6c0a5598c405b8a86?cid=64f71dc4feea42ba8a001845e907b58d,https://i.scdn.co/image/ab67616d0000b2733258c515d13056dc6fc51519,0.713,0.536,11,-10.063,0,0.0373,0.0618,2.89e-05,0.0956,0.387,112.391,195044,4,1
6gTynV4nOsbPyvqKn882z1,Outside World,['Sunbeam'],52,https://p.scdn.co/mp3-preview/895c7429f36ed8ac2d87b63cedeb1a050b1b837e?cid=64f71dc4feea42ba8a001845e907b58d,https://i.scdn.co/image/ab67616d0000b273338cd0ae44e7c9b9aa702f3f,0.601,0.565,0,-11.625,0,0.0399,0.0374,0.927,0.108,0.372,149.859,343573,4,0
0FSX8l6wWsFYdWp8HHO3uN,Outside (Hardstyle),['PXSEIDON'],50,https://p.scdn.co/mp3-preview/1a3b6a205013a2d7168fe341bf5b9aa84e3acf87?cid=64f71dc4feea42ba8a001845e907b58d,https://i.scdn.co/image/ab67616d0000b273fd505e7339a1676cfc977bff,0.324,0.655,6,-10.305,0,0.233,0.0996,0.00999,0.221,0.619,180.344,139330,4,1
0f53LvoSsThvY3yViJ2Yv8,Outside - HYPERTECHNO,"['TECHNO KING', '2Hounds']",43,https://p.scdn.co/mp3-preview/d41d1c8d2936c4c7fc2b66b7627d11285a64f019?cid=64f71dc4feea42ba8a001845e907b58d,https://i.scdn.co/image/ab67616d0000b27374b2a1645bd56d1b55bfb4d4,0.548,0.709,0,-7.22,1,0.114,0.0713,0.0,0.155,0.587,75.097,135200,4,1
6Kln4BzOrJIGsi3j0ZsJGt,Outside (Speed up),['Young$ix'],21,https://p.scdn.co/mp3-preview/b972e5104832743c23733a2d6a2ffc6f4561ae89?cid=64f71dc4feea42ba8a001845e907b58d,https://i.scdn.co/image/ab67616d0000b273e9bc776a893c4d8b3df5af0f,0.821,0.938,7,-7.772,1,0.0533,0.0575,6.49e-06,0.0605,0.328,155.068,48768,4,1
